date,time,datetime,Tb,ID,Sample_nr
01/06/2023,17:46:47,01/06/2023 17:46,11.87,H089,
01/06/2023,18:01:47,01/06/2023 18:01,11.76,H089,
01/06/2023,18:16:47,01/06/2023 18:16,11.67,H089,
01/06/2023,18:31:47,01/06/2023 18:31,11.55,H089,
01/06/2023,18:46:47,01/06/2023 18:46,11.51,H089,
01/06/2023,19:01:47,01/06/2023 19:01,11.45,H089,
01/06/2023,19:16:47,01/06/2023 19:16,11.49,H089,
01/06/2023,19:31:47,01/06/2023 19:31,11.49,H089,
01/06/2023,19:46:47,01/06/2023 19:46,11.45,H089,
01/06/2023,20:01:46,01/06/2023 20:01,11.36,H089,
01/06/2023,20:16:46,01/06/2023 20:16,11.37,H089,
01/06/2023,20:31:46,01/06/2023 20:31,11.3,H089,
01/06/2023,20:46:46,01/06/2023 20:46,11.24,H089,
01/06/2023,21:01:46,01/06/2023 21:01,11.13,H089,
01/06/2023,21:16:46,01/06/2023 21:16,11.1,H089,
01/06/2023,21:31:46,01/06/2023 21:31,11.04,H089,
01/06/2023,21:46:46,01/06/2023 21:46,11,H089,
01/06/2023,22:01:46,01/06/2023 22:01,10.89,H089,
01/06/2023,22:16:46,01/06/2023 22:16,10.85,H089,
01/06/2023,22:31:46,01/06/2023 22:31,10.81,H089,
01/06/2023,22:46:45,01/06/2023 22:46,10.81,H089,
01/06/2023,23:01:45,01/06/2023 23:01,10.8,H089,
01/06/2023,23:16:45,01/06/2023 23:16,10.73,H089,
01/06/2023,23:31:45,01/06/2023 23:31,10.67,H089,
01/06/2023,23:46:45,01/06/2023 23:46,10.58,H089,
02/06/2023,00:01:45,02/06/2023 00:01,10.54,H089,
02/06/2023,00:16:45,02/06/2023 00:16,10.49,H089,
02/06/2023,00:31:45,02/06/2023 00:31,10.5,H089,
02/06/2023,00:46:45,02/06/2023 00:46,10.48,H089,
02/06/2023,01:01:45,02/06/2023 01:01,10.41,H089,
02/06/2023,01:16:45,02/06/2023 01:16,10.35,H089,
02/06/2023,01:31:44,02/06/2023 01:31,10.28,H089,
02/06/2023,01:46:44,02/06/2023 01:46,10.22,H089,
02/06/2023,02:01:44,02/06/2023 02:01,10.19,H089,
